委托单位编码,委托单位名称,单据编号,单据类型,交易类型,币种,金额,优先级,超期状态,单据日期,任务类型,工作组,处理人,作业状态,入池时间,入组时间,提取时间,通过时间,是否全电发票,收单状态,实物状态,共享中心,服务目录,自动审批状态,任务量
A01,示例集团·甲公司,AP-2026-000170,通用报销单,应付付款单（材料采购）,人民币,70448.39,,--,2026-04-10,FSSC审核岗,应付成本组,审核员06,审核通过,2026-03-18 12:11:19,2026-03-18 12:12:32,2026-03-18 12:19:43,2026-03-18 15:24:32,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000170,通用报销单,应付付款单（材料采购）,人民币,105022.93,,--,2026-04-10,FSSC审核岗,应付成本组,审核员06,审核通过,2026-03-18 12:11:19,2026-03-18 12:12:32,2026-03-18 12:20:38,2026-03-18 15:25:32,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A03,示例集团·丙公司,AP-2026-000171,应付发票,应付付款单（服务费）,人民币,733148.76,,--,2026-04-18,FSSC审核岗,应付成本组,审核员07,审核通过,2026-06-24 15:34:41,2026-06-24 15:34:55,2026-06-24 15:37:22,2026-06-24 20:00:55,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A03,示例集团·丙公司,AP-2026-000171,应付发票,应付付款单（服务费）,人民币,115971.4,,--,2026-04-18,FSSC审核岗,应付成本组,审核员07,审核通过,2026-06-24 15:34:41,2026-06-24 15:34:55,2026-06-24 15:38:19,2026-06-24 20:14:55,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A03,示例集团·丙公司,AP-2026-000171,应付发票,应付付款单（服务费）,人民币,482888.71,,--,2026-04-18,FSSC审核岗,应付成本组,审核员07,审核通过,2026-06-24 15:34:41,2026-06-24 15:34:55,2026-06-24 15:37:37,2026-06-24 20:20:55,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A03,示例集团·丙公司,AP-2026-000172,通用报销单,应付付款单（材料采购）,人民币,30713.47,,--,2026-01-04,FSSC审核岗,应付成本组,审核员04,审核通过,2026-03-07 20:48:22,2026-03-07 20:49:07,2026-03-07 20:54:46,2026-03-07 23:54:07,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A03,示例集团·丙公司,AP-2026-000172,通用报销单,应付付款单（材料采购）,人民币,305987.27,,--,2026-01-04,FSSC审核岗,应付成本组,审核员04,审核通过,2026-03-07 20:48:22,2026-03-07 20:49:07,2026-03-07 20:56:54,2026-03-08 01:49:07,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A03,示例集团·丙公司,AP-2026-000172,通用报销单,应付付款单（材料采购）,人民币,35112.86,,--,2026-01-04,FSSC审核岗,应付成本组,审核员04,审核通过,2026-03-07 20:48:22,2026-03-07 20:49:07,2026-03-07 20:50:15,2026-03-08 01:08:07,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A11,示例集团·子公司甲,AP-2026-000173,通用报销单,应付确认单（物料类）,人民币,16583.72,,--,2026-01-20,FSSC审核岗,应付成本组,审核员04,审核通过,2026-02-23 12:18:54,2026-02-23 12:20:44,2026-02-23 12:22:49,2026-02-23 14:59:44,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A15,示例集团·子公司戊,AP-2026-000174,付款单,应付付款单（服务费）,人民币,15631.02,,--,2026-04-05,FSSC审核岗,应付成本组,审核员07,审核通过,2026-01-08 10:46:14,2026-01-08 10:46:46,2026-01-08 10:49:43,2026-01-08 14:37:46,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A07,示例集团·庚公司,AP-2026-000175,通用报销单,通用报销单（费用报销）,人民币,1482.17,,--,2026-03-26,FSSC审核岗,应付成本组,审核员01,审核通过,2026-01-17 19:18:44,2026-01-17 19:20:37,2026-01-17 19:21:12,2026-01-17 21:01:37,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A07,示例集团·庚公司,AP-2026-000176,付款单,应付付款单（差旅费）,人民币,197939.3,,--,2026-04-26,FSSC审核岗,应付成本组,审核员06,审核通过,2026-02-14 11:31:38,2026-02-14 11:33:25,2026-02-14 11:32:30,2026-02-14 14:12:25,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A07,示例集团·庚公司,AP-2026-000176,付款单,应付付款单（差旅费）,人民币,9835.24,,--,2026-04-26,FSSC审核岗,应付成本组,审核员06,审核通过,2026-02-14 11:31:38,2026-02-14 11:33:25,2026-02-14 11:32:41,2026-02-14 14:32:25,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000177,付款单,通用报销单（费用报销）,人民币,429941.03,,--,2026-05-01,FSSC审核岗,应付成本组,审核员06,审核通过,2026-04-06 15:29:28,2026-04-06 15:29:54,2026-04-06 15:30:52,2026-04-06 20:26:54,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000177,付款单,通用报销单（费用报销）,人民币,46914.93,,--,2026-05-01,FSSC审核岗,应付成本组,审核员06,审核通过,2026-04-06 15:29:28,2026-04-06 15:29:54,2026-04-06 15:37:40,2026-04-06 19:30:54,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000177,付款单,通用报销单（费用报销）,人民币,6789.89,,--,2026-05-01,FSSC审核岗,应付成本组,审核员06,审核通过,2026-04-06 15:29:28,2026-04-06 15:29:54,2026-04-06 15:35:49,2026-04-06 19:33:54,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000178,通用报销单,其他专项付款单,人民币,12521.19,,--,2026-05-22,FSSC审核岗,应付成本组,审核员01,审核通过,2026-02-13 18:20:31,2026-02-13 18:22:08,2026-02-13 18:23:19,2026-02-13 20:54:08,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A01,示例集团·甲公司,AP-2026-000178,通用报销单,其他专项付款单,人民币,78189.36,,--,2026-05-22,FSSC审核岗,应付成本组,审核员01,审核通过,2026-02-13 18:20:31,2026-02-13 18:22:08,2026-02-13 18:28:20,2026-02-13 19:55:08,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A01,示例集团·甲公司,AP-2026-000179,应付发票,应付付款单（差旅费）,人民币,4307.27,,--,2026-06-15,FSSC审核岗,应付成本组,审核员04,审核驳回,2026-06-11 09:56:12,2026-06-11 09:56:29,2026-06-11 10:03:11,--,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000179,应付发票,应付付款单（差旅费）,人民币,136751.82,,--,2026-06-15,FSSC审核岗,应付成本组,审核员04,审核驳回,2026-06-11 09:56:12,2026-06-11 09:56:29,2026-06-11 09:58:10,--,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A13,示例集团·子公司丙,AP-2026-000181,应付发票,应付付款单（差旅费）,人民币,7166.23,,--,2026-01-25,FSSC审核岗,应付成本组,审核员01,审核通过,2026-01-13 13:28:11,2026-01-13 13:28:29,2026-01-13 13:35:25,2026-01-13 16:13:29,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A10,示例集团·癸公司,AP-2026-000182,应付发票,通用报销单（费用报销）,人民币,21278.09,,--,2026-02-22,FSSC审核岗,应付成本组,审核员06,审核驳回,2026-05-20 16:13:13,2026-05-20 16:13:51,2026-05-20 16:13:56,--,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A14,示例集团·子公司丁,AP-2026-000183,通用报销单,通用报销单（费用报销）,人民币,79079.46,,--,2026-06-11,FSSC审核岗,应付成本组,审核员03,审核通过,2026-05-27 17:26:58,2026-05-27 17:28:26,2026-05-27 17:33:45,2026-05-27 19:29:26,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000184,通用报销单,应付确认单（物料类）,人民币,115226.49,,--,2026-04-26,FSSC审核岗,应付成本组,审核员07,审核通过,2026-06-21 19:33:16,2026-06-21 19:34:11,2026-06-21 19:34:41,2026-06-21 23:29:11,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000184,通用报销单,应付确认单（物料类）,人民币,182920.65,,--,2026-04-26,FSSC审核岗,应付成本组,审核员07,审核通过,2026-06-21 19:33:16,2026-06-21 19:34:11,2026-06-21 19:38:51,2026-06-21 23:37:11,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000185,通用报销单,应付付款单（差旅费）,人民币,9612.65,,--,2026-01-26,FSSC审核岗,应付成本组,审核员07,审核通过,2026-04-13 17:41:42,2026-04-13 17:43:06,2026-04-13 17:43:44,2026-04-13 20:54:06,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000186,应付发票,应付付款单（材料采购）,人民币,38877.31,,--,2026-04-20,FSSC审核岗,应付成本组,审核员04,审核通过,2026-03-24 18:47:19,2026-03-24 18:47:21,2026-03-24 18:48:33,2026-03-24 22:59:21,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000189,通用报销单,应付确认单（物料类）,人民币,276564.49,,--,2026-06-26,FSSC审核岗,应付成本组,审核员01,审核通过,2026-03-14 11:20:42,2026-03-14 11:22:40,2026-03-14 11:24:47,2026-03-14 16:19:40,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000189,通用报销单,应付确认单（物料类）,人民币,38890.42,,--,2026-06-26,FSSC审核岗,应付成本组,审核员01,审核通过,2026-03-14 11:20:42,2026-03-14 11:22:40,2026-03-14 11:24:38,2026-03-14 14:53:40,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000189,通用报销单,应付确认单（物料类）,人民币,90398.62,,--,2026-06-26,FSSC审核岗,应付成本组,审核员01,审核通过,2026-03-14 11:20:42,2026-03-14 11:22:40,2026-03-14 11:21:52,2026-03-14 14:51:40,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000190,付款单,应付付款单（材料采购）,人民币,75163.04,,--,2026-04-13,FSSC审核岗,应付成本组,审核员07,审核通过,2026-05-28 12:50:14,2026-05-28 12:50:56,2026-05-28 12:59:04,2026-05-28 14:52:56,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000190,付款单,应付付款单（材料采购）,人民币,370175.32,,--,2026-04-13,FSSC审核岗,应付成本组,审核员07,审核通过,2026-05-28 12:50:14,2026-05-28 12:50:56,2026-05-28 12:58:51,2026-05-28 14:28:56,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000190,付款单,应付付款单（材料采购）,人民币,31186.08,,--,2026-04-13,FSSC审核岗,应付成本组,审核员07,审核通过,2026-05-28 12:50:14,2026-05-28 12:50:56,2026-05-28 12:52:42,2026-05-28 13:21:56,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A04,示例集团·丁公司,AP-2026-000191,应付发票,应付付款单（服务费）,人民币,8553.29,,--,2026-03-25,FSSC审核岗,应付成本组,审核员07,审核驳回,2026-06-18 20:50:25,2026-06-18 20:50:26,2026-06-18 20:54:21,--,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A05,示例集团·戊公司,AP-2026-000193,付款单,应付确认单（物料类）,人民币,15444.05,,--,2026-04-19,FSSC审核岗,应付成本组,审核员03,审核通过,2026-02-22 10:15:35,2026-02-22 10:17:24,2026-02-22 10:21:34,2026-02-22 12:55:24,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A05,示例集团·戊公司,AP-2026-000193,付款单,应付确认单（物料类）,人民币,77993.56,,--,2026-04-19,FSSC审核岗,应付成本组,审核员03,审核通过,2026-02-22 10:15:35,2026-02-22 10:17:24,2026-02-22 10:23:05,2026-02-22 12:50:24,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A05,示例集团·戊公司,AP-2026-000193,付款单,应付确认单（物料类）,人民币,6651.8,,--,2026-04-19,FSSC审核岗,应付成本组,审核员03,审核通过,2026-02-22 10:15:35,2026-02-22 10:17:24,2026-02-22 10:24:22,2026-02-22 13:08:24,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000194,付款单,通用报销单（费用报销）,人民币,27940.16,,--,2026-05-25,FSSC审核岗,应付成本组,审核员01,审核通过,2026-01-04 10:28:50,2026-01-04 10:29:43,2026-01-04 10:29:20,2026-01-04 12:53:43,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A03,示例集团·丙公司,AP-2026-000195,通用报销单,应付付款单（服务费）,人民币,66541.62,,--,2026-02-22,FSSC审核岗,应付成本组,审核员02,审核通过,2026-01-23 17:03:07,2026-01-23 17:04:57,2026-01-23 17:05:07,2026-01-23 19:42:57,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A03,示例集团·丙公司,AP-2026-000195,通用报销单,应付付款单（服务费）,人民币,20471.13,,--,2026-02-22,FSSC审核岗,应付成本组,审核员02,审核通过,2026-01-23 17:03:07,2026-01-23 17:04:57,2026-01-23 17:10:11,2026-01-23 20:19:57,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A08,示例集团·辛公司,AP-2026-000196,应付发票,应付付款单（材料采购）,人民币,94617.2,,--,2026-03-01,FSSC审核岗,应付成本组,审核员07,审核通过,2026-04-18 19:35:22,2026-04-18 19:36:22,2026-04-18 19:41:39,2026-04-18 20:07:22,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A08,示例集团·辛公司,AP-2026-000196,应付发票,应付付款单（材料采购）,人民币,165078.51,,--,2026-03-01,FSSC审核岗,应付成本组,审核员07,审核通过,2026-04-18 19:35:22,2026-04-18 19:36:22,2026-04-18 19:41:24,2026-04-18 20:24:22,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A11,示例集团·子公司甲,AP-2026-000200,付款单,应付付款单（服务费）,人民币,113195.54,,--,2026-02-12,FSSC审核岗,应付成本组,审核员06,审核通过,2026-01-16 13:59:09,2026-01-16 13:59:51,2026-01-16 13:59:25,2026-01-16 16:46:51,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A11,示例集团·子公司甲,AP-2026-000200,付款单,应付付款单（服务费）,人民币,6860.21,,--,2026-02-12,FSSC审核岗,应付成本组,审核员06,审核通过,2026-01-16 13:59:09,2026-01-16 13:59:51,2026-01-16 14:01:24,2026-01-16 16:31:51,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000201,付款单,应付付款单（材料采购）,人民币,66893.36,,--,2026-06-25,FSSC审核岗,应付成本组,审核员04,审核驳回,2026-06-04 11:42:33,2026-06-04 11:43:42,2026-06-04 11:52:13,--,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000202,应付发票,应付付款单（材料采购）,人民币,74639.06,,--,2026-05-23,FSSC审核岗,应付成本组,审核员06,审核通过,2026-02-01 19:44:59,2026-02-01 19:46:12,2026-02-01 19:49:30,2026-02-01 21:59:12,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000202,应付发票,应付付款单（材料采购）,人民币,35126.03,,--,2026-05-23,FSSC审核岗,应付成本组,审核员06,审核通过,2026-02-01 19:44:59,2026-02-01 19:46:12,2026-02-01 19:52:05,2026-02-01 22:11:12,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A06,示例集团·己公司,AP-2026-000204,付款单,应付确认单（物料类）,人民币,92840.24,,--,2026-01-28,FSSC审核岗,应付成本组,审核员06,审核通过,2026-06-03 13:46:08,2026-06-03 13:47:24,2026-06-03 13:54:49,2026-06-03 16:10:24,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A07,示例集团·庚公司,AP-2026-000207,付款单,通用报销单（费用报销）,人民币,88291.08,,--,2026-06-22,FSSC审核岗,应付成本组,审核员06,审核驳回,2026-01-11 15:00:30,2026-01-11 15:01:02,2026-01-11 15:05:19,--,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A05,示例集团·戊公司,AP-2026-000208,应付发票,应付付款单（服务费）,人民币,52721.29,,--,2026-06-04,FSSC审核岗,应付成本组,审核员04,审核驳回,2026-05-19 18:48:58,2026-05-19 18:49:19,2026-05-19 18:53:37,--,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A05,示例集团·戊公司,AP-2026-000208,应付发票,应付付款单（服务费）,人民币,14676.75,,--,2026-06-04,FSSC审核岗,应付成本组,审核员04,审核驳回,2026-05-19 18:48:58,2026-05-19 18:49:19,2026-05-19 18:53:55,--,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000209,付款单,应付付款单（差旅费）,人民币,57683.74,,--,2026-02-18,FSSC审核岗,应付成本组,审核员06,审核通过,2026-02-20 15:45:29,2026-02-20 15:46:53,2026-02-20 15:46:09,2026-02-20 18:14:53,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000209,付款单,应付付款单（差旅费）,人民币,817252.43,,--,2026-02-18,FSSC审核岗,应付成本组,审核员06,审核通过,2026-02-20 15:45:29,2026-02-20 15:46:53,2026-02-20 15:52:32,2026-02-20 16:31:53,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A18,示例集团·子公司辛,AP-2026-000210,通用报销单,应付付款单（差旅费）,人民币,34570.99,,--,2026-01-24,FSSC审核岗,应付成本组,审核员04,审核通过,2026-06-10 12:15:10,2026-06-10 12:16:01,2026-06-10 12:21:00,2026-06-10 16:30:01,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A18,示例集团·子公司辛,AP-2026-000210,通用报销单,应付付款单（差旅费）,人民币,259426.22,,--,2026-01-24,FSSC审核岗,应付成本组,审核员04,审核通过,2026-06-10 12:15:10,2026-06-10 12:16:01,2026-06-10 12:23:53,2026-06-10 14:48:01,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A18,示例集团·子公司辛,AP-2026-000210,通用报销单,应付付款单（差旅费）,人民币,63221.51,,--,2026-01-24,FSSC审核岗,应付成本组,审核员04,审核通过,2026-06-10 12:15:10,2026-06-10 12:16:01,2026-06-10 12:22:23,2026-06-10 16:29:01,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A04,示例集团·丁公司,AP-2026-000212,通用报销单,应付付款单（服务费）,人民币,19515.8,,--,2026-05-06,FSSC审核岗,应付成本组,审核员03,审核驳回,2026-02-15 15:17:08,2026-02-15 15:17:43,2026-02-15 15:23:06,--,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A04,示例集团·丁公司,AP-2026-000212,通用报销单,应付付款单（服务费）,人民币,39528.0,,--,2026-05-06,FSSC审核岗,应付成本组,审核员03,审核驳回,2026-02-15 15:17:08,2026-02-15 15:17:43,2026-02-15 15:24:05,--,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A06,示例集团·己公司,AP-2026-000213,应付发票,应付付款单（材料采购）,人民币,58476.57,,--,2026-02-14,FSSC审核岗,应付成本组,审核员06,审核通过,2026-01-16 17:56:46,2026-01-16 17:57:25,2026-01-16 18:00:41,2026-01-16 19:46:25,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A06,示例集团·己公司,AP-2026-000213,应付发票,应付付款单（材料采购）,人民币,149835.91,,--,2026-02-14,FSSC审核岗,应付成本组,审核员06,审核通过,2026-01-16 17:56:46,2026-01-16 17:57:25,2026-01-16 18:06:15,2026-01-16 20:16:25,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A06,示例集团·己公司,AP-2026-000213,应付发票,应付付款单（材料采购）,人民币,1676239.8,,--,2026-02-14,FSSC审核岗,应付成本组,审核员06,审核通过,2026-01-16 17:56:46,2026-01-16 17:57:25,2026-01-16 18:02:52,2026-01-16 19:32:25,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A11,示例集团·子公司甲,AP-2026-000214,通用报销单,应付付款单（差旅费）,人民币,64636.24,,--,2026-01-04,FSSC审核岗,应付成本组,审核员05,审核驳回,2026-03-06 11:51:21,2026-03-06 11:51:27,2026-03-06 11:55:55,--,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A11,示例集团·子公司甲,AP-2026-000214,通用报销单,应付付款单（差旅费）,人民币,10687.15,,--,2026-01-04,FSSC审核岗,应付成本组,审核员05,审核驳回,2026-03-06 11:51:21,2026-03-06 11:51:27,2026-03-06 11:53:56,--,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A15,示例集团·子公司戊,AP-2026-000215,通用报销单,应付确认单（物料类）,人民币,5905.22,,--,2026-06-13,FSSC审核岗,应付成本组,审核员01,审核通过,2026-04-11 12:34:28,2026-04-11 12:36:20,2026-04-11 12:35:58,2026-04-11 13:20:20,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A15,示例集团·子公司戊,AP-2026-000215,通用报销单,应付确认单（物料类）,人民币,33173.33,,--,2026-06-13,FSSC审核岗,应付成本组,审核员01,审核通过,2026-04-11 12:34:28,2026-04-11 12:36:20,2026-04-11 12:37:04,2026-04-11 14:06:20,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A02,示例集团·乙公司,AP-2026-000216,通用报销单,应付付款单（材料采购）,人民币,12340.93,,--,2026-05-04,FSSC审核岗,应付成本组,审核员05,审核通过,2026-03-04 20:19:30,2026-03-04 20:21:23,2026-03-04 20:24:37,2026-03-04 23:10:23,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000217,通用报销单,应付付款单（服务费）,人民币,130753.46,,--,2026-06-20,FSSC审核岗,应付成本组,审核员02,审核驳回,2026-04-02 14:57:18,2026-04-02 14:58:47,2026-04-02 15:05:01,--,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000217,通用报销单,应付付款单（服务费）,人民币,132105.75,,--,2026-06-20,FSSC审核岗,应付成本组,审核员02,审核驳回,2026-04-02 14:57:18,2026-04-02 14:58:47,2026-04-02 15:04:49,--,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A01,示例集团·甲公司,AP-2026-000217,通用报销单,应付付款单（服务费）,人民币,48807.26,,--,2026-06-20,FSSC审核岗,应付成本组,审核员02,审核驳回,2026-04-02 14:57:18,2026-04-02 14:58:47,2026-04-02 15:00:31,--,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A12,示例集团·子公司乙,AP-2026-000218,应付发票,应付确认单（物料类）,人民币,150292.85,,--,2026-06-28,FSSC审核岗,应付成本组,审核员05,审核通过,2026-02-24 15:50:13,2026-02-24 15:50:48,2026-02-24 15:59:29,2026-02-24 19:34:48,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A09,示例集团·壬公司,AP-2026-000219,通用报销单,应付付款单（服务费）,人民币,65556.2,,--,2026-02-27,FSSC审核岗,应付成本组,审核员07,审核通过,2026-06-06 09:20:18,2026-06-06 09:21:10,2026-06-06 09:21:55,2026-06-06 11:49:10,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A09,示例集团·壬公司,AP-2026-000219,通用报销单,应付付款单（服务费）,人民币,817988.3,,--,2026-02-27,FSSC审核岗,应付成本组,审核员07,审核通过,2026-06-06 09:20:18,2026-06-06 09:21:10,2026-06-06 09:26:21,2026-06-06 10:21:10,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A17,示例集团·子公司庚,AP-2026-000221,应付发票,应付付款单（差旅费）,人民币,143856.98,,--,2026-06-12,FSSC审核岗,应付成本组,审核员04,审核通过,2026-06-09 19:53:50,2026-06-09 19:54:27,2026-06-09 20:02:27,2026-06-09 20:20:27,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A17,示例集团·子公司庚,AP-2026-000221,应付发票,应付付款单（差旅费）,人民币,209790.34,,--,2026-06-12,FSSC审核岗,应付成本组,审核员04,审核通过,2026-06-09 19:53:50,2026-06-09 19:54:27,2026-06-09 20:02:57,2026-06-09 21:23:27,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A08,示例集团·辛公司,AP-2026-000222,应付发票,应付确认单（物料类）,人民币,7884.24,,--,2026-06-01,FSSC审核岗,应付成本组,审核员03,审核通过,2026-05-01 15:58:50,2026-05-01 15:59:13,2026-05-01 16:04:00,2026-05-01 20:00:13,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A08,示例集团·辛公司,AP-2026-000222,应付发票,应付确认单（物料类）,人民币,11617.53,,--,2026-06-01,FSSC审核岗,应付成本组,审核员03,审核通过,2026-05-01 15:58:50,2026-05-01 15:59:13,2026-05-01 16:05:24,2026-05-01 20:27:13,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A12,示例集团·子公司乙,AP-2026-000223,通用报销单,应付付款单（服务费）,人民币,117052.03,,--,2026-02-10,FSSC审核岗,应付成本组,审核员02,审核通过,2026-02-20 14:37:07,2026-02-20 14:38:13,2026-02-20 14:37:31,2026-02-20 17:46:13,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A12,示例集团·子公司乙,AP-2026-000223,通用报销单,应付付款单（服务费）,人民币,6843.72,,--,2026-02-10,FSSC审核岗,应付成本组,审核员02,审核通过,2026-02-20 14:37:07,2026-02-20 14:38:13,2026-02-20 14:43:53,2026-02-20 17:45:13,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A12,示例集团·子公司乙,AP-2026-000223,通用报销单,应付付款单（服务费）,人民币,24977.58,,--,2026-02-10,FSSC审核岗,应付成本组,审核员02,审核通过,2026-02-20 14:37:07,2026-02-20 14:38:13,2026-02-20 14:44:53,2026-02-20 18:18:13,,--,,示例集团财务共享中心（本部）,应付付款单（服务费）,非自动审批,1
A08,示例集团·辛公司,AP-2026-000225,付款单,应付付款单（材料采购）,人民币,312130.82,,--,2026-05-21,FSSC审核岗,应付成本组,审核员06,审核通过,2026-05-14 14:24:50,2026-05-14 14:26:05,2026-05-14 14:27:20,2026-05-14 19:07:05,,--,,示例集团财务共享中心（本部）,应付付款单（材料采购）,非自动审批,1
