来源系统,单据编号,单据日期,单据类型,交易类型,委托单位编码,委托单位,制单人编码,制单人,附件个数,影像张数,共享中心,共享服务类型,服务目录,任务属性,创建时间,入池时间,入组时间,任务类型,任务量系数,优先级,工作组,派单到人模式,派单到人规则,提取/派单时间,操作终端,处理人编码,处理人,处理时间,处理意见,处理意见标签化,作业状态,作业时长,修正作业时长,超期标记,超期时间,共享是否处理完成,共享处理次数,进入共享次数,页面审核时长,驳回类型,驳回模式,驳回接收环节,驳回接收人,驳出共享次数
费控服务,AP-2026-000391,2026-02-26,付款单,通用报销单（费用报销）,A03,示例集团·丙公司,MAK07,制单人07,,1,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-03-04 19:03:59,2026-03-04 19:04:34,2026-03-04 19:04:57,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-04 19:04:57,移动端,AUD03,审核员03,2026-03-04 19:45:57,同意,,审核通过,5分57秒,--,0,,是,1,1,130秒,,0,,,--
财务会计,AP-2026-000392,2026-01-07,付款单,应付付款单（服务费）,A09,示例集团·壬公司,MAK10,制单人10,,3,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-01-11 11:49:07,2026-01-11 11:49:28,2026-01-11 11:49:58,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-11 11:49:58,移动端,AUD03,审核员03,2026-01-11 12:15:58,同意,,审核通过,25分57秒,--,0,,是,1,1,122秒,,0,,,--
财务会计,AP-2026-000393,2026-05-14,付款单,应付付款单（服务费）,A01,示例集团·甲公司,MAK10,制单人10,,4,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-01-20 15:11:24,2026-01-20 15:11:48,2026-01-20 15:12:06,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-20 15:12:06,移动端,AUD01,审核员01,2026-01-20 17:10:06,同意,,审核通过,13分21秒,--,0,,是,1,1,75秒,,0,,,--
财务会计,AP-2026-000394,2026-06-04,付款单,其他专项付款单,A01,示例集团·甲公司,MAK10,制单人10,,2,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-03-06 20:21:14,2026-03-06 20:22:11,2026-03-06 20:22:49,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-06 20:22:49,移动端,AUD02,审核员02,2026-03-06 22:57:49,同意,,审核通过,37分35秒,--,0,,是,1,1,127秒,,0,,,--
财务会计,AP-2026-000395,2026-04-07,付款单,通用报销单（费用报销）,A01,示例集团·甲公司,MAK14,制单人14,,3,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-02-15 12:00:46,2026-02-15 12:01:14,2026-02-15 12:02:49,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-15 12:02:49,移动端,AUD04,审核员04,2026-02-15 13:06:49,同意,,审核通过,38分9秒,--,0,,是,1,1,12秒,,0,,,--
财务会计,AP-2026-000396,2026-04-24,付款单,其他专项付款单,A04,示例集团·丁公司,MAK01,制单人01,,3,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-06-14 16:25:30,2026-06-14 16:26:22,2026-06-14 16:28:05,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-14 16:28:05,PC端,AUD07,审核员07,2026-06-14 19:27:05,同意,,审核通过,6分35秒,--,0,,是,1,1,16秒,,0,,,--
财务会计,AP-2026-000397,2026-03-12,通用报销单,应付付款单（差旅费）,A08,示例集团·辛公司,MAK07,制单人07,,0,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-02-03 08:30:42,2026-02-03 08:31:02,2026-02-03 08:31:23,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-03 08:31:23,PC端,AUD02,审核员02,2026-02-03 11:32:23,同意,,审核通过,30分29秒,--,0,,是,1,1,80秒,,0,,,--
财务会计,AP-2026-000398,2026-04-12,付款单,应付确认单（物料类）,A13,示例集团·子公司丙,MAK07,制单人07,,6,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-06-21 08:55:40,2026-06-21 08:55:45,2026-06-21 08:56:35,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-21 08:56:35,移动端,AUD06,审核员06,2026-06-21 11:53:35,同意,特殊原因,审核通过,18分44秒,--,0,,是,1,1,287秒,,0,,,1
费控服务,AP-2026-000399,2026-02-20,应付发票,应付确认单（物料类）,A06,示例集团·己公司,MAK04,制单人04,,0,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-06-02 16:58:43,2026-06-02 16:59:07,2026-06-02 17:01:01,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-02 17:01:01,移动端,AUD05,审核员05,2026-06-02 17:15:01,同意,,审核通过,24分23秒,--,0,,是,1,1,99秒,,0,,,--
财务会计,AP-2026-000400,2026-03-25,通用报销单,应付付款单（差旅费）,A07,示例集团·庚公司,MAK12,制单人12,,3,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-03-08 16:07:41,2026-03-08 16:08:12,2026-03-08 16:09:47,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-08 16:09:47,移动端,AUD04,审核员04,2026-03-08 19:22:47,同意,,审核通过,15分20秒,--,0,,是,1,1,190秒,,0,,,--
财务会计,AP-2026-000401,2026-06-02,应付发票,应付付款单（差旅费）,A14,示例集团·子公司丁,MAK09,制单人09,,8,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-01-15 15:32:33,2026-01-15 15:33:27,2026-01-15 15:33:43,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-15 15:33:43,PC端,AUD03,审核员03,2026-01-15 17:34:43,同意,,审核通过,19分28秒,--,0,,是,1,1,198秒,,0,,,--
财务会计,AP-2026-000402,2026-06-03,通用报销单,其他专项付款单,A11,示例集团·子公司甲,MAK16,制单人16,,2,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-01-15 09:05:25,2026-01-15 09:06:23,2026-01-15 09:06:46,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-15 09:06:46,移动端,AUD06,审核员06,2026-01-15 10:20:46,同意,,审核通过,18分7秒,--,0,,是,1,1,85秒,,0,,,--
费控服务,AP-2026-000403,2026-05-21,通用报销单,应付付款单（差旅费）,A05,示例集团·戊公司,MAK14,制单人14,,4,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-06-22 16:59:08,2026-06-22 16:59:39,2026-06-22 17:00:24,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-22 17:00:24,移动端,AUD04,审核员04,2026-06-22 18:48:24,同意,,审核通过,13分4秒,--,0,,是,1,1,21秒,,0,,,--
财务会计,AP-2026-000404,2026-04-21,应付发票,应付付款单（材料采购）,A13,示例集团·子公司丙,MAK04,制单人04,,8,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-03-11 18:41:50,2026-03-11 18:42:11,2026-03-11 18:43:14,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-11 18:43:14,移动端,AUD07,审核员07,2026-03-11 21:15:14,同意,,审核通过,29分29秒,--,0,,是,1,1,165秒,,0,,,--
财务会计,AP-2026-000405,2026-04-26,付款单,其他专项付款单,A06,示例集团·己公司,MAK15,制单人15,,2,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-01-12 12:49:54,2026-01-12 12:49:58,2026-01-12 12:50:17,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-12 12:50:17,PC端,AUD03,审核员03,2026-01-12 14:21:17,同意,,审核通过,35分18秒,--,0,,是,1,1,103秒,,0,,,--
财务会计,AP-2026-000406,2026-06-22,付款单,通用报销单（费用报销）,A18,示例集团·子公司辛,MAK14,制单人14,,8,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-01-08 09:02:20,2026-01-08 09:02:57,2026-01-08 09:03:14,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-08 09:03:14,PC端,AUD05,审核员05,2026-01-08 10:56:14,同意,,审核通过,3分42秒,--,0,,是,1,1,172秒,,0,,,--
费控服务,AP-2026-000407,2026-06-06,应付发票,应付付款单（材料采购）,A18,示例集团·子公司辛,MAK03,制单人03,,8,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-06-01 14:59:31,2026-06-01 15:00:21,2026-06-01 15:00:40,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-01 15:00:40,移动端,AUD04,审核员04,2026-06-01 16:58:40,同意,,审核通过,33分21秒,--,0,,是,1,1,161秒,,0,,,--
财务会计,AP-2026-000408,2026-04-19,应付发票,应付付款单（材料采购）,A05,示例集团·戊公司,MAK05,制单人05,,0,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-03-19 19:58:59,2026-03-19 19:59:28,2026-03-19 20:00:12,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-19 20:00:12,移动端,AUD07,审核员07,2026-03-19 22:57:12,同意,,审核通过,9分43秒,--,0,,是,1,1,292秒,,0,,,--
财务会计,AP-2026-000409,2026-02-08,应付发票,通用报销单（费用报销）,A01,示例集团·甲公司,MAK01,制单人01,,4,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-05-11 08:38:41,2026-05-11 08:38:54,2026-05-11 08:40:09,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-11 08:40:09,移动端,AUD05,审核员05,2026-05-11 10:55:09,同意,,审核通过,13分1秒,--,0,,是,1,1,52秒,,0,,,--
财务会计,AP-2026-000410,2026-04-03,付款单,通用报销单（费用报销）,A06,示例集团·己公司,MAK08,制单人08,,6,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-01-16 13:38:38,2026-01-16 13:39:11,2026-01-16 13:39:19,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-16 13:39:19,PC端,AUD05,审核员05,2026-01-16 16:30:19,同意,,审核通过,24分24秒,--,0,,是,1,1,200秒,,0,,,--
费控服务,AP-2026-000411,2026-06-15,应付发票,通用报销单（费用报销）,A01,示例集团·甲公司,MAK06,制单人06,,6,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-06-24 15:47:26,2026-06-24 15:48:18,2026-06-24 15:49:15,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-24 15:49:15,移动端,AUD03,审核员03,2026-06-24 17:03:15,同意,,审核通过,27分8秒,--,0,,是,1,1,54秒,,0,,,--
财务会计,AP-2026-000412,2026-03-17,通用报销单,通用报销单（费用报销）,A02,示例集团·乙公司,MAK05,制单人05,,8,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-05-19 20:24:05,2026-05-19 20:24:06,2026-05-19 20:24:59,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-19 20:24:59,移动端,AUD07,审核员07,2026-05-19 23:08:59,同意,,审核通过,30分45秒,--,0,,是,1,1,300秒,,0,,,--
费控服务,AP-2026-000413,2026-04-13,通用报销单,应付确认单（物料类）,A10,示例集团·癸公司,MAK03,制单人03,,0,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-04-02 12:53:37,2026-04-02 12:53:57,2026-04-02 12:55:01,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-02 12:55:01,移动端,AUD02,审核员02,2026-04-02 15:19:01,同意,,审核通过,10分16秒,--,0,,是,1,1,163秒,,0,,,--
财务会计,AP-2026-000414,2026-03-21,应付发票,通用报销单（费用报销）,A17,示例集团·子公司庚,MAK14,制单人14,,7,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-01-14 10:31:58,2026-01-14 10:32:43,2026-01-14 10:34:06,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-14 10:34:06,移动端,AUD04,审核员04,2026-01-14 11:37:06,驳回,附件信息不一致,审核驳回,5分38秒,38分30秒,0,,是,2,1,299秒,驳回,1,制单人,制单人14,2
财务会计,AP-2026-000415,2026-05-23,应付发票,应付付款单（服务费）,A04,示例集团·丁公司,MAK05,制单人05,,7,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-03-24 17:01:54,2026-03-24 17:02:11,2026-03-24 17:02:32,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-24 17:02:32,移动端,AUD05,审核员05,2026-03-24 19:31:32,驳回,未关联合同,审核驳回,9分22秒,18分23秒,0,,是,2,1,224秒,驳回,1,前端单位,示例集团·丁公司,2
财务会计,AP-2026-000416,2026-01-10,通用报销单,应付确认单（物料类）,A07,示例集团·庚公司,MAK16,制单人16,,8,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-01-03 16:12:49,2026-01-03 16:13:30,2026-01-03 16:13:54,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-03 16:13:54,PC端,AUD01,审核员01,2026-01-03 19:29:54,驳回,附件不完整,审核驳回,21分55秒,20分17秒,0,,是,1,1,195秒,驳回,1,制单人,制单人16,1
财务会计,AP-2026-000417,2026-04-01,通用报销单,应付付款单（差旅费）,A01,示例集团·甲公司,MAK10,制单人10,,3,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-02-12 20:31:26,2026-02-12 20:31:48,2026-02-12 20:33:46,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-12 20:33:46,PC端,AUD06,审核员06,2026-02-12 21:15:46,同意,,审核通过,13分50秒,--,0,,是,1,1,296秒,,0,,,--
财务会计,AP-2026-000418,2026-01-18,付款单,其他专项付款单,A07,示例集团·庚公司,MAK14,制单人14,,0,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-02-25 20:07:26,2026-02-25 20:07:56,2026-02-25 20:09:54,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-25 20:09:54,PC端,AUD04,审核员04,2026-02-25 20:29:54,同意,,审核通过,31分22秒,--,0,,是,1,1,169秒,,0,,,--
财务会计,AP-2026-000419,2026-05-20,应付发票,应付付款单（服务费）,A08,示例集团·辛公司,MAK03,制单人03,,2,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-04-06 19:19:01,2026-04-06 19:19:49,2026-04-06 19:21:34,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-06 19:21:34,PC端,AUD04,审核员04,2026-04-06 19:52:34,同意,,审核通过,15分19秒,--,0,,是,1,1,74秒,,0,,,--
财务会计,AP-2026-000420,2026-03-25,付款单,其他专项付款单,A02,示例集团·乙公司,MAK16,制单人16,,8,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-01-01 20:30:48,2026-01-01 20:31:16,2026-01-01 20:31:22,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-01 20:31:22,移动端,AUD03,审核员03,2026-01-01 21:22:22,同意,,审核通过,38分3秒,--,0,,是,1,1,250秒,,0,,,--
财务会计,AP-2026-000421,2026-03-22,应付发票,应付付款单（差旅费）,A01,示例集团·甲公司,MAK05,制单人05,,1,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-06-26 09:58:38,2026-06-26 09:58:52,2026-06-26 10:00:08,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-26 10:00:08,PC端,AUD01,审核员01,2026-06-26 10:52:08,同意,,审核通过,10分54秒,--,0,,是,1,1,152秒,,0,,,--
财务会计,AP-2026-000422,2026-01-17,应付发票,应付付款单（差旅费）,A16,示例集团·子公司己,MAK06,制单人06,,3,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-02-08 16:36:04,2026-02-08 16:36:11,2026-02-08 16:37:56,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-08 16:37:56,PC端,AUD02,审核员02,2026-02-08 19:06:56,同意,,审核通过,19分10秒,--,0,,是,1,1,285秒,,0,,,--
财务会计,AP-2026-000423,2026-05-17,付款单,通用报销单（费用报销）,A01,示例集团·甲公司,MAK12,制单人12,,6,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-04-23 17:11:28,2026-04-23 17:12:12,2026-04-23 17:12:26,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-23 17:12:26,PC端,AUD07,审核员07,2026-04-23 17:59:26,同意,,审核通过,14分32秒,--,0,,是,1,1,126秒,,0,,,--
费控服务,AP-2026-000424,2026-05-15,通用报销单,通用报销单（费用报销）,A04,示例集团·丁公司,MAK13,制单人13,,7,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-06-16 20:23:45,2026-06-16 20:24:04,2026-06-16 20:25:16,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-16 20:25:16,PC端,AUD03,审核员03,2026-06-16 23:30:16,驳回,附件不完整,审核驳回,8分24秒,39分47秒,0,,是,2,1,169秒,驳回,1,前端单位,示例集团·丁公司,2
财务会计,AP-2026-000425,2026-02-14,通用报销单,通用报销单（费用报销）,A08,示例集团·辛公司,MAK14,制单人14,,7,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-04-07 09:57:53,2026-04-07 09:58:45,2026-04-07 09:59:46,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-07 09:59:46,移动端,AUD02,审核员02,2026-04-07 12:53:46,同意,业务类型填写错误,审核通过,7分25秒,6分7秒,0,,是,1,1,83秒,,0,,,1
财务会计,AP-2026-000426,2026-01-24,付款单,通用报销单（费用报销）,A04,示例集团·丁公司,MAK12,制单人12,,7,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-01-07 13:12:38,2026-01-07 13:13:33,2026-01-07 13:14:25,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-07 13:14:25,PC端,AUD07,审核员07,2026-01-07 13:46:25,同意,,审核通过,18分48秒,--,0,,是,1,1,149秒,,0,,,--
费控服务,AP-2026-000427,2026-04-12,付款单,应付确认单（物料类）,A10,示例集团·癸公司,MAK13,制单人13,,7,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-06-13 15:32:17,2026-06-13 15:32:27,2026-06-13 15:34:06,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-13 15:34:06,移动端,AUD07,审核员07,2026-06-13 17:31:06,同意,,审核通过,15分40秒,--,0,,是,1,1,78秒,,0,,,--
财务会计,AP-2026-000428,2026-01-16,通用报销单,应付付款单（差旅费）,A01,示例集团·甲公司,MAK12,制单人12,,8,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-01-13 17:43:20,2026-01-13 17:43:30,2026-01-13 17:44:09,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-13 17:44:09,PC端,AUD06,审核员06,2026-01-13 20:24:09,同意,,审核通过,32分50秒,--,0,,是,1,1,248秒,,0,,,--
财务会计,AP-2026-000429,2026-03-09,通用报销单,应付确认单（物料类）,A02,示例集团·乙公司,MAK11,制单人11,,7,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-06-28 16:34:01,2026-06-28 16:34:50,2026-06-28 16:34:55,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-28 16:34:55,移动端,AUD04,审核员04,2026-06-28 18:25:55,同意,,审核通过,21分54秒,--,0,,是,1,1,202秒,,0,,,--
费控服务,AP-2026-000430,2026-03-22,通用报销单,应付付款单（材料采购）,A04,示例集团·丁公司,MAK01,制单人01,,7,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-03-23 10:31:27,2026-03-23 10:31:36,2026-03-23 10:32:16,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-23 10:32:16,PC端,AUD02,审核员02,2026-03-23 13:36:16,同意,,审核通过,36分43秒,--,0,,是,1,1,286秒,,0,,,--
财务会计,AP-2026-000431,2026-05-17,付款单,应付确认单（物料类）,A06,示例集团·己公司,MAK08,制单人08,,0,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-02-16 17:24:39,2026-02-16 17:25:23,2026-02-16 17:26:09,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-16 17:26:09,PC端,AUD06,审核员06,2026-02-16 20:43:09,同意,,审核通过,38分2秒,--,0,,是,1,1,75秒,,0,,,--
费控服务,AP-2026-000432,2026-05-01,付款单,其他专项付款单,A12,示例集团·子公司乙,MAK06,制单人06,,3,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-03-11 14:06:27,2026-03-11 14:06:50,2026-03-11 14:07:36,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-11 14:07:36,移动端,AUD06,审核员06,2026-03-11 15:53:36,同意,,审核通过,16分41秒,--,0,,是,1,1,169秒,,0,,,--
财务会计,AP-2026-000433,2026-05-10,通用报销单,应付确认单（物料类）,A06,示例集团·己公司,MAK15,制单人15,,4,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-03-01 16:20:02,2026-03-01 16:20:32,2026-03-01 16:21:57,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-01 16:21:57,移动端,AUD01,审核员01,2026-03-01 18:10:57,同意,,审核通过,2分44秒,--,0,,是,1,1,250秒,,0,,,--
费控服务,AP-2026-000434,2026-05-13,应付发票,通用报销单（费用报销）,A06,示例集团·己公司,MAK16,制单人16,,5,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-01-26 15:06:44,2026-01-26 15:07:28,2026-01-26 15:07:55,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-26 15:07:55,移动端,AUD03,审核员03,2026-01-26 16:34:55,同意,,审核通过,11分39秒,--,0,,是,1,1,163秒,,0,,,--
财务会计,AP-2026-000435,2026-01-28,付款单,应付付款单（差旅费）,A04,示例集团·丁公司,MAK07,制单人07,,3,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-03-28 16:13:18,2026-03-28 16:13:35,2026-03-28 16:13:42,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-28 16:13:42,PC端,AUD04,审核员04,2026-03-28 17:30:42,同意,,审核通过,40分47秒,--,0,,是,1,1,57秒,,0,,,--
财务会计,AP-2026-000436,2026-04-09,付款单,通用报销单（费用报销）,A09,示例集团·壬公司,MAK10,制单人10,,4,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-01-17 15:27:13,2026-01-17 15:27:36,2026-01-17 15:29:18,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-17 15:29:18,移动端,AUD05,审核员05,2026-01-17 15:49:18,同意,,审核通过,28分42秒,--,0,,是,1,1,286秒,,0,,,--
费控服务,AP-2026-000437,2026-03-17,付款单,应付付款单（差旅费）,A03,示例集团·丙公司,MAK07,制单人07,,3,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-02-18 10:56:01,2026-02-18 10:56:42,2026-02-18 10:58:13,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-18 10:58:13,PC端,AUD02,审核员02,2026-02-18 13:11:13,同意,,审核通过,30分17秒,--,0,,是,1,1,282秒,,0,,,--
财务会计,AP-2026-000438,2026-04-19,通用报销单,应付付款单（差旅费）,A11,示例集团·子公司甲,MAK14,制单人14,,6,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-01-17 11:23:29,2026-01-17 11:23:39,2026-01-17 11:24:10,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-17 11:24:10,移动端,AUD07,审核员07,2026-01-17 12:03:10,同意,,审核通过,27分20秒,--,0,,是,1,1,42秒,,0,,,--
财务会计,AP-2026-000439,2026-03-10,通用报销单,通用报销单（费用报销）,A07,示例集团·庚公司,MAK14,制单人14,,4,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-04-22 17:15:25,2026-04-22 17:15:41,2026-04-22 17:15:56,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-22 17:15:56,PC端,AUD02,审核员02,2026-04-22 17:54:56,同意,,审核通过,30分31秒,--,0,,是,1,1,296秒,,0,,,--
财务会计,AP-2026-000440,2026-06-07,应付发票,应付付款单（差旅费）,A20,示例集团·子公司癸,MAK07,制单人07,,7,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-03-01 12:50:51,2026-03-01 12:51:09,2026-03-01 12:52:34,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-01 12:52:34,PC端,AUD07,审核员07,2026-03-01 15:13:34,同意,,审核通过,2分3秒,--,0,,是,1,1,52秒,,0,,,--
财务会计,AP-2026-000441,2026-03-14,通用报销单,应付付款单（差旅费）,A03,示例集团·丙公司,MAK05,制单人05,,1,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-02-03 14:53:46,2026-02-03 14:54:40,2026-02-03 14:54:58,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-03 14:54:58,PC端,AUD01,审核员01,2026-02-03 15:55:58,同意,,审核通过,34分42秒,--,0,,是,1,1,278秒,,0,,,--
财务会计,AP-2026-000442,2026-06-04,付款单,应付付款单（服务费）,A02,示例集团·乙公司,MAK15,制单人15,,2,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-02-11 17:47:24,2026-02-11 17:48:16,2026-02-11 17:49:52,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-11 17:49:52,PC端,AUD02,审核员02,2026-02-11 21:00:52,同意,,审核通过,7分11秒,--,0,,是,1,1,119秒,,0,,,--
财务会计,AP-2026-000443,2026-06-19,通用报销单,其他专项付款单,A18,示例集团·子公司辛,MAK08,制单人08,,2,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-06-12 19:07:20,2026-06-12 19:07:55,2026-06-12 19:08:50,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-12 19:08:50,PC端,AUD02,审核员02,2026-06-12 21:10:50,同意,,审核通过,24分30秒,--,0,,是,1,1,198秒,,0,,,--
费控服务,AP-2026-000444,2026-03-20,付款单,通用报销单（费用报销）,A11,示例集团·子公司甲,MAK01,制单人01,,4,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-02-22 20:03:44,2026-02-22 20:04:43,2026-02-22 20:06:24,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-22 20:06:24,PC端,AUD07,审核员07,2026-02-22 22:58:24,同意,,审核通过,24分57秒,--,0,,是,1,1,72秒,,0,,,--
